types, doc1 
Bookmark, doc1 
pluralLabel, doc1 
Publication, doc1 
GoldStandardPublication, doc1 
GoldStandardBookmark, doc1 
Tag, doc1 
User, doc1 
Sphere, doc1 
properties, doc1 
count, doc1 
valueType, doc1 
date, doc1 
changeDate, doc1 
url, doc1 
id, doc1 
tags, doc1 
user, doc1 
items, doc1 
type, doc1 
intraHash, doc1 
interHash, doc1 
label, doc1 
description, doc1 
pub-type, doc1 
booktitle, doc1 
series, doc1 
publisher, doc1 
year, doc1 
author, doc1 
authors, doc1 
first, doc1 
last, doc1 
editor, doc1 
editors, doc1 
volume, doc1 
pages, doc1 
ee, doc1 
bibtexKey, doc1 
journal, doc1 
number, doc1 
isbn, doc1 
@score, doc2 
@id, doc2 
info, doc2 
title, doc2 
venue, doc2 
key, doc2 
doi, doc2 
MedlineCitation, doc2 
@Status, doc2 
@Owner, doc2 
PMID, doc2 
@Version, doc2 
#text, doc2 
DateRevised, doc2 
Year, doc2 
Month, doc2 
Day, doc2 
Article, doc2 
@PubModel, doc2 
Journal, doc2 
ISSN, doc2 
@IssnType, doc2 
JournalIssue, doc2 
@CitedMedium, doc2 
Volume, doc2 
PubDate, doc2 
Title, doc2 
ISOAbbreviation, doc2 
ArticleTitle, doc2 
Pagination, doc2 
MedlinePgn, doc2 
ELocationID, doc2 
@EIdType, doc2 
@ValidYN, doc2 
Abstract, doc2 
AbstractText, doc2 
AuthorList, doc2 
@CompleteYN, doc2 
Author, doc2 
LastName, doc2 
ForeName, doc2 
Initials, doc2 
Identifier, doc2 
@Source, doc2 
AffiliationInfo, doc2 
Affiliation, doc2 
Language, doc2 
PublicationTypeList, doc2 
PublicationType, doc2 
@UI, doc2 
ArticleDate, doc2 
@DateType, doc2 
MedlineJournalInfo, doc2 
Country, doc2 
MedlineTA, doc2 
NlmUniqueID, doc2 
ISSNLinking, doc2 
CommentsCorrectionsList, doc2 
@RefType, doc2 
RefSource, doc2 
PubmedData, doc2 
History, doc2 
@PubStatus, doc2 
Hour, doc2 
Minute, doc2 
PublicationStatus, doc2 
ArticleIdList, doc2 
@IdType, doc2 
GrantList, doc2 
Grant, doc2 
GrantID, doc2 
Acronym, doc2 
Agency, doc2 
DateCompleted, doc2 
Issue, doc2 
CommentsCorrections, doc2 
KeywordList, doc2 
Keyword, doc2 
@MajorTopicYN, doc2 
@Label, doc2 
@NlmCategory, doc2 
CopyrightInformation, doc2 
CoiStatement, doc2 
CitationSubset, doc2 
MeshHeadingList, doc2 
DescriptorName, doc2 
QualifierName, doc2 
ArticleId, doc2 
ChemicalList, doc2 
Chemical, doc2 
RegistryNumber, doc2 
NameOfSubstance, doc2 
MedlineDate, doc2 
@VersionID, doc2 
@VersionDate, doc2 
DataBankList, doc2 
DataBank, doc2 
DataBankName, doc2 
AccessionNumberList, doc2 
AccessionNumber, doc2 
i, doc2 
